session,bash-count,shell-count,exit-count,help-count,passwd-count,chpass-count,usradd-count,sh-count,bslash-count,fslash-count,perl-count,python-count,chmod-count,sudo-count,rm-count,history-count,cat-count,uname-count,wc-count,crontab-count,w-count,ps-count,free-count,lscpu-count,nproc-count,uptime-count,wget-count,tftp-count,scp-count,ping-count,kill-count,reboot-count,r1-count,r2-count,r3-count,rcd1-size,rcd2_size,mlen-count,url_count,prot,src,ssh_client,duration,rcd_size,continet,cntry,regioin-code,city-name,lat,long,region-code,target
4042,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,6,1,31,0,0,1,1.0,0.950740099,7,2,13,7,12,-8.95,51.9,7,1
9682,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,9,4,31,0,0,0,0.0,0.892485142,4,2,13,7,12,-8.95,51.9,7,0
5388,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2,0,31,0,0,1,1.0,1.101294041,7,2,13,7,12,-8.95,51.9,7,1
3446,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,6,3,31,0,0,1,1.0,0.901108027,7,2,19,62,51,4.663,51.8656,62,1
8953,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,5,8,5,31,0,0,1,1.0,1.27867198,10,2,13,7,12,-8.95,51.9,7,1
9320,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,4,31,0,0,0,0.0,0.931342125,5,2,13,7,12,-8.95,51.9,7,0
3282,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,7,0,31,0,0,0,0.0,1.519886971,8,2,13,7,12,-8.95,51.9,7,0
876,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,0,2,2.0,0.901628017,1,2,19,62,51,4.663,51.8656,62,2
3960,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,9,4,31,0,0,0,0.0,0.90429306,6,2,21,53,52,30.2642,59.8944,53,0
5054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,4,4,31,0,1,0,0.0,4.07351017,10,4,3,46,45,-52.6167,-23.6167,46,0
9347,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,5,1,31,0,0,0,0.0,1.006685019,8,2,13,7,12,-8.95,51.9,7,0
